Device Name,Device ID,Positioning Type,Speed,Alert Starting Time,Alert Ending Time,Alert Duration,Alert Type,Coordinates,SUMMARY,Source_File,Speed_kmh,Duration_seconds,Hour,DayOfWeek,Longitude,Latitude
KDN 235V - Ashok Leyland,2.91072E+11,GPS,46 km/h,5/4/2026 14:29,5/4/2026 14:29,0 s,Seatbelt Detection,36.893368/-1.313153,Invalid,KDN 235V - 04.05.2026-10.05.2026.xlsx,46,0,14,Monday,36.893368,-1.313153
KDN 235V - Ashok Leyland,2.91072E+11,GPS,58 km/h,5/4/2026 14:27,5/4/2026 14:27,0 s,Seatbelt Detection,36.887218/-1.299597,Invalid,KDN 235V - 04.05.2026-10.05.2026.xlsx,58,0,14,Monday,36.887218,-1.299597
KDN 235V - Ashok Leyland,2.91072E+11,GPS,57 km/h,5/4/2026 14:27,5/4/2026 14:27,0 s,Seatbelt Detection,36.886625/-1.296606,Invalid,KDN 235V - 04.05.2026-10.05.2026.xlsx,57,0,14,Monday,36.886625,-1.296606
KDP 967Z - Probox,2.91072E+11,GPS,89 km/h,5/9/2026 5:43,5/9/2026 5:43,0 s,High-Speed Warning,37.072158/-1.017538,Within limit,KDP 967Z -  04.05.2026-10.05.2026.xlsx,89,0,5,Saturday,37.072158,-1.017538
KDP 967Z - Probox,2.91072E+11,GPS,91 km/h,5/9/2026 5:43,5/9/2026 5:43,0 s,High-Speed Warning,37.072341/-1.01712,Within limit,KDP 967Z -  04.05.2026-10.05.2026.xlsx,91,0,5,Saturday,37.072341,-1.01712
KDP 967Z - Probox,2.91072E+11,GPS,97 km/h,5/9/2026 5:43,5/9/2026 5:43,0 s,High-Speed Warning,37.073746/-1.014109,Within limit,KDP 967Z -  04.05.2026-10.05.2026.xlsx,97,0,5,Saturday,37.073746,-1.014109
KDP 967Z - Probox,2.91072E+11,GPS,90 km/h,5/6/2026 16:00,5/6/2026 16:00,0 s,High-Speed Warning,37.175826/-0.928972,Within limit,KDP 967Z -  04.05.2026-10.05.2026.xlsx,90,0,16,Wednesday,37.175826,-0.928972
KDP 967Z - Probox,2.91072E+11,GPS,96 km/h,5/6/2026 15:59,5/6/2026 15:59,0 s,High-Speed Warning,37.180543/-0.928557,Within limit,KDP 967Z -  04.05.2026-10.05.2026.xlsx,96,0,15,Wednesday,37.180543,-0.928557
KDP 967Z - Probox,2.91072E+11,GPS,95 km/h,5/6/2026 15:59,5/6/2026 15:59,0 s,High-Speed Warning,37.180781/-0.928538,Within limit,KDP 967Z -  04.05.2026-10.05.2026.xlsx,95,0,15,Wednesday,37.180781,-0.928538
KDP 967Z - Probox,2.91072E+11,GPS,95 km/h,5/6/2026 15:59,5/6/2026 15:59,0 s,High-Speed Warning,37.18553/-0.927874,Within limit,KDP 967Z -  04.05.2026-10.05.2026.xlsx,95,0,15,Wednesday,37.18553,-0.927874
KDP 967Z - Probox,2.91072E+11,GPS,94 km/h,5/6/2026 15:59,5/6/2026 15:59,0 s,High-Speed Warning,37.189504/-0.925251,Within limit,KDP 967Z -  04.05.2026-10.05.2026.xlsx,94,0,15,Wednesday,37.189504,-0.925251
KDP 967Z - Probox,2.91072E+11,GPS,91 km/h,5/6/2026 15:58,5/6/2026 15:58,0 s,High-Speed Warning,37.196724/-0.919133,Within limit,KDP 967Z -  04.05.2026-10.05.2026.xlsx,91,0,15,Wednesday,37.196724,-0.919133
KDP 967Z - Probox,2.91072E+11,GPS,95 km/h,5/6/2026 14:56,5/6/2026 14:56,0 s,High-Speed Warning,37.287338/-0.756671,Within limit,KDP 967Z -  04.05.2026-10.05.2026.xlsx,95,0,14,Wednesday,37.287338,-0.756671
KDP 967Z - Probox,2.91072E+11,GPS,92 km/h,5/6/2026 14:55,5/6/2026 14:55,0 s,High-Speed Warning,37.292083/-0.756038,Within limit,KDP 967Z -  04.05.2026-10.05.2026.xlsx,92,0,14,Wednesday,37.292083,-0.756038
KDP 967Z - Probox,2.91072E+11,GPS,90 km/h,5/6/2026 14:52,5/6/2026 14:52,0 s,High-Speed Warning,37.325976/-0.740791,Within limit,KDP 967Z -  04.05.2026-10.05.2026.xlsx,90,0,14,Wednesday,37.325976,-0.740791
KDP 967Z - Probox,2.91072E+11,GPS,92 km/h,5/6/2026 14:49,5/6/2026 14:49,0 s,High-Speed Warning,37.3254/-0.716333,Within limit,KDP 967Z -  04.05.2026-10.05.2026.xlsx,92,0,14,Wednesday,37.3254,-0.716333
KDP 967Z - Probox,2.91072E+11,GPS,90 km/h,5/6/2026 14:49,5/6/2026 14:49,0 s,High-Speed Warning,37.326831/-0.713992,Within limit,KDP 967Z -  04.05.2026-10.05.2026.xlsx,90,0,14,Wednesday,37.326831,-0.713992
KDS 789W - Fuso,2.91072E+11,GPS,77 km/h,5/8/2026 12:03,5/8/2026 12:03,0 s,High-Speed Warning,36.381843/-1.034592,Within limit,KDS 789W - 04.05.2026-10.05.2026.xlsx,77,0,12,Friday,36.381843,-1.034592
KDS 789W - Fuso,2.91072E+11,GPS,73 km/h,5/8/2026 11:44,5/8/2026 11:44,0 s,High-Speed Warning,36.356656/-1.040857,Within limit,KDS 789W - 04.05.2026-10.05.2026.xlsx,73,0,11,Friday,36.356656,-1.040857
KDS 789W - Fuso,2.91072E+11,GPS,76 km/h,5/8/2026 11:44,5/8/2026 11:44,0 s,High-Speed Warning,36.352913/-1.041495,Within limit,KDS 789W - 04.05.2026-10.05.2026.xlsx,76,0,11,Friday,36.352913,-1.041495
KDS 789W - Fuso,2.91072E+11,GPS,74 km/h,5/8/2026 11:44,5/8/2026 11:44,0 s,High-Speed Warning,36.349035/-1.04216,Within limit,KDS 789W - 04.05.2026-10.05.2026.xlsx,74,0,11,Friday,36.349035,-1.04216
KDS 789W - Fuso,2.91072E+11,GPS,70 km/h,5/8/2026 11:43,5/8/2026 11:43,0 s,High-Speed Warning,36.345467/-1.042768,Within limit,KDS 789W - 04.05.2026-10.05.2026.xlsx,70,0,11,Friday,36.345467,-1.042768
KDS 789W - Fuso,2.91072E+11,GPS,70 km/h,5/8/2026 11:43,5/8/2026 11:43,0 s,High-Speed Warning,36.344441/-1.042973,Within limit,KDS 789W - 04.05.2026-10.05.2026.xlsx,70,0,11,Friday,36.344441,-1.042973
KDS 789W - Fuso,2.91072E+11,GPS,70 km/h,5/8/2026 11:25,5/8/2026 11:25,0 s,High-Speed Warning,36.180515/-1.104733,Within limit,KDS 789W - 04.05.2026-10.05.2026.xlsx,70,0,11,Friday,36.180515,-1.104733
KDS 789W - Fuso,2.91072E+11,GPS,74 km/h,5/8/2026 11:24,5/8/2026 11:24,0 s,High-Speed Warning,36.176914/-1.104241,Within limit,KDS 789W - 04.05.2026-10.05.2026.xlsx,74,0,11,Friday,36.176914,-1.104241
KDS 789W - Fuso,2.91072E+11,GPS,76 km/h,5/8/2026 11:24,5/8/2026 11:24,0 s,High-Speed Warning,36.173516/-1.102522,Within limit,KDS 789W - 04.05.2026-10.05.2026.xlsx,76,0,11,Friday,36.173516,-1.102522
KDS 789W - Fuso,2.91072E+11,GPS,78 km/h,5/8/2026 11:24,5/8/2026 11:24,0 s,High-Speed Warning,36.171084/-1.099511,Within limit,KDS 789W - 04.05.2026-10.05.2026.xlsx,78,0,11,Friday,36.171084,-1.099511
KDS 789W - Fuso,2.91072E+11,GPS,77 km/h,5/8/2026 11:24,5/8/2026 11:24,0 s,High-Speed Warning,36.170248/-1.097642,Within limit,KDS 789W - 04.05.2026-10.05.2026.xlsx,77,0,11,Friday,36.170248,-1.097642
KDS 789W - Fuso,2.91072E+11,GPS,74 km/h,5/8/2026 11:23,5/8/2026 11:23,0 s,High-Speed Warning,36.168564/-1.094277,Within limit,KDS 789W - 04.05.2026-10.05.2026.xlsx,74,0,11,Friday,36.168564,-1.094277
KDS 789W - Fuso,2.91072E+11,GPS,71 km/h,5/8/2026 11:23,5/8/2026 11:23,0 s,High-Speed Warning,36.165619/-1.092031,Within limit,KDS 789W - 04.05.2026-10.05.2026.xlsx,71,0,11,Friday,36.165619,-1.092031
KDS 789W - Fuso,2.91072E+11,GPS,72 km/h,5/8/2026 10:54,5/8/2026 10:54,0 s,High-Speed Warning,35.946968/-1.09129,Within limit,KDS 789W - 04.05.2026-10.05.2026.xlsx,72,0,10,Friday,35.946968,-1.09129
KDS 789W - Fuso,2.91072E+11,GPS,73 km/h,5/8/2026 10:54,5/8/2026 10:54,0 s,High-Speed Warning,35.943418/-1.091796,Within limit,KDS 789W - 04.05.2026-10.05.2026.xlsx,73,0,10,Friday,35.943418,-1.091796
KDS 789W - Fuso,2.91072E+11,GPS,71 km/h,5/8/2026 10:53,5/8/2026 10:53,0 s,High-Speed Warning,35.939796/-1.092317,Within limit,KDS 789W - 04.05.2026-10.05.2026.xlsx,71,0,10,Friday,35.939796,-1.092317
KDS 789W - Fuso,2.91072E+11,GPS,72 km/h,5/8/2026 10:53,5/8/2026 10:53,0 s,High-Speed Warning,35.936892/-1.092744,Within limit,KDS 789W - 04.05.2026-10.05.2026.xlsx,72,0,10,Friday,35.936892,-1.092744
KDS 789W - Fuso,2.91072E+11,GPS,70 km/h,5/7/2026 11:19,5/7/2026 11:19,0 s,High-Speed Warning,35.232091/-0.177493,Within limit,KDS 789W - 04.05.2026-10.05.2026.xlsx,70,0,11,Thursday,35.232091,-0.177493
KDS 789W - Fuso,2.91072E+11,GPS,71 km/h,5/6/2026 18:02,5/6/2026 18:02,0 s,High-Speed Warning,35.187466/0.066261,Within limit,KDS 789W - 04.05.2026-10.05.2026.xlsx,71,0,18,Wednesday,35.187466,0.066261
KDS 789W - Fuso,2.91072E+11,GPS,71 km/h,5/6/2026 12:31,5/6/2026 12:31,0 s,High-Speed Warning,34.753018/0.244864,Within limit,KDS 789W - 04.05.2026-10.05.2026.xlsx,71,0,12,Wednesday,34.753018,0.244864
KDS 789W - Fuso,2.91072E+11,GPS,70 km/h,5/6/2026 12:31,5/6/2026 12:31,0 s,High-Speed Warning,34.752464/0.248382,Within limit,KDS 789W - 04.05.2026-10.05.2026.xlsx,70,0,12,Wednesday,34.752464,0.248382
KDS 789W - Fuso,2.91072E+11,GPS,72 km/h,5/6/2026 12:30,5/6/2026 12:30,0 s,High-Speed Warning,34.750132/0.253362,Within limit,KDS 789W - 04.05.2026-10.05.2026.xlsx,72,0,12,Wednesday,34.750132,0.253362
KDV 176A - Probox,2.91079E+11,GPS,92 km/h,5/8/2026 17:53,5/8/2026 17:53,0 s,High-Speed Warning,37.077805/-1.497936,Within Limit,KDV 176A - 04.05.2026-10.05.2026.xlsx,92,0,17,Friday,37.077805,-1.497936
KDV 176A - Probox,2.91079E+11,GPS,93 km/h,5/8/2026 17:52,5/8/2026 17:52,0 s,High-Speed Warning,37.081909/-1.500102,Within Limit,KDV 176A - 04.05.2026-10.05.2026.xlsx,93,0,17,Friday,37.081909,-1.500102
KDV 176A - Probox,2.91079E+11,GPS,93 km/h,5/8/2026 17:52,5/8/2026 17:52,0 s,High-Speed Warning,37.085797/-1.502611,Within Limit,KDV 176A - 04.05.2026-10.05.2026.xlsx,93,0,17,Friday,37.085797,-1.502611
KDV 176A - Probox,2.91079E+11,GPS,93 km/h,5/8/2026 17:52,5/8/2026 17:52,0 s,High-Speed Warning,37.089154/-1.504741,Within Limit,KDV 176A - 04.05.2026-10.05.2026.xlsx,93,0,17,Friday,37.089154,-1.504741
KDV 176A - Probox,2.91079E+11,GPS,93 km/h,5/8/2026 17:51,5/8/2026 17:51,0 s,High-Speed Warning,37.09316/-1.507311,Within Limit,KDV 176A - 04.05.2026-10.05.2026.xlsx,93,0,17,Friday,37.09316,-1.507311
KDV 176A - Probox,2.91079E+11,GPS,92 km/h,5/8/2026 17:51,5/8/2026 17:51,0 s,High-Speed Warning,37.097061/-1.509801,Within Limit,KDV 176A - 04.05.2026-10.05.2026.xlsx,92,0,17,Friday,37.097061,-1.509801
KDV 834X - Isuzu D/Max,2.91072E+11,GPS,50 km/h,5/5/2026 9:25,5/5/2026 9:25,0 s,Seatbelt Detection,36.403469/0.02564,Invalid,KDX 834X - 04.05.2026-10.05.2026.xlsx,50,0,9,Tuesday,36.403469,0.02564
KDV 834X - Isuzu D/Max,2.91072E+11,GPS,67 km/h,5/5/2026 9:24,5/5/2026 9:24,0 s,Seatbelt Detection,36.396538/0.029555,Invalid,KDX 834X - 04.05.2026-10.05.2026.xlsx,67,0,9,Tuesday,36.396538,0.029555
KDD 804D - Probox,2.91072E+11,GPS,28 km/h,5/7/2026 15:40,5/7/2026 17:22,1 h 42 min 48 s,Seatbelt Detection,36.876781/-1.341227,Invalid,KDD 804D - 04.05.2026-10.05.2026.xlsx,28,2568,15,Thursday,36.876781,-1.341227
KDD 804D - Probox,2.91072E+11,GPS,107 km/h,5/6/2026 12:18,5/6/2026 14:03,1 h 45 min 32 s,Overspeed Alert(107 km/h),36.858622/-1.333645,Valid,KDD 804D - 04.05.2026-10.05.2026.xlsx,107,2732,12,Wednesday,36.858622,-1.333645
KDD 804D - Probox,2.91072E+11,GPS,95 km/h,5/6/2026 12:17,5/6/2026 14:03,1 h 46 min 0 s,High-Speed Warning,36.852028/-1.329314,Within limit,KDD 804D - 04.05.2026-10.05.2026.xlsx,95,2760,12,Wednesday,36.852028,-1.329314
KDD 804D - Probox,2.91072E+11,GPS,52 km/h,5/6/2026 12:17,5/6/2026 14:03,1 h 46 min 24 s,Seatbelt Detection,36.84806/-1.327418,Invalid,KDD 804D - 04.05.2026-10.05.2026.xlsx,52,2784,12,Wednesday,36.84806,-1.327418
KDS 789W - Fuso,2.91072E+11,GPS,70 km/h,5/8/2026 9:03,5/8/2026 9:04,1 min 0 s,High-Speed Warning,35.530269/-0.980994,Within limit,KDS 789W - 04.05.2026-10.05.2026.xlsx,70,60,9,Friday,35.530269,-0.980994
KDV 176A - Probox,2.91079E+11,GPS,76 km/h,5/5/2026 12:29,5/5/2026 12:30,1 min 0 s,High-Speed Warning,37.133134/-1.277251,Within Limit,KDV 176A - 04.05.2026-10.05.2026.xlsx,76,60,12,Tuesday,37.133134,-1.277251
KDV 176A - Probox,2.91079E+11,GPS,75 km/h,5/5/2026 2:16,5/5/2026 2:17,1 min 0 s,High-Speed Warning,37.051517/-1.279949,Within Limit,KDV 176A - 04.05.2026-10.05.2026.xlsx,75,60,2,Tuesday,37.051517,-1.279949
KDV 834X - Isuzu D/Max,2.91072E+11,GPS,60 km/h,5/6/2026 7:58,5/6/2026 7:59,1 min 0 s,No Driver detected,36.745667/-1.264239,Loose Camera,KDX 834X - 04.05.2026-10.05.2026.xlsx,60,60,7,Wednesday,36.745667,-1.264239
KDP 967Z - Probox,2.91072E+11,GPS,91 km/h,5/6/2026 9:02,5/6/2026 9:03,1 min 1 s,High-Speed Warning,37.247778/-0.814612,Within limit,KDP 967Z -  04.05.2026-10.05.2026.xlsx,91,61,9,Wednesday,37.247778,-0.814612
KDP 967Z - Probox,2.91072E+11,GPS,90 km/h,5/9/2026 17:25,5/9/2026 17:27,1 min 10 s,High-Speed Warning,37.015755/-1.106626,Within limit,KDP 967Z -  04.05.2026-10.05.2026.xlsx,90,70,17,Saturday,37.015755,-1.106626
KDP 967Z - Probox,2.91072E+11,GPS,90 km/h,5/6/2026 18:17,5/6/2026 18:19,1 min 11 s,High-Speed Warning,36.9737/-1.133479,Within limit,KDP 967Z -  04.05.2026-10.05.2026.xlsx,90,71,18,Wednesday,36.9737,-1.133479
KDV 176A - Probox,2.91079E+11,GPS,75 km/h,5/6/2026 16:36,5/6/2026 16:37,1 min 11 s,High-Speed Warning,36.886616/-1.296475,Within Limit,KDV 176A - 04.05.2026-10.05.2026.xlsx,75,71,16,Wednesday,36.886616,-1.296475
KDS 789W - Fuso,2.91072E+11,GPS,72 km/h,5/8/2026 9:35,5/8/2026 9:36,1 min 12 s,High-Speed Warning,35.808208/-1.080747,Within limit,KDS 789W - 04.05.2026-10.05.2026.xlsx,72,72,9,Friday,35.808208,-1.080747
KDV 176A - Probox,2.91079E+11,GPS,76 km/h,5/8/2026 13:32,5/8/2026 13:33,1 min 12 s,High-Speed Warning,37.33789/-1.520965,Within Limit,KDV 176A - 04.05.2026-10.05.2026.xlsx,76,72,13,Friday,37.33789,-1.520965
KDV 176A - Probox,2.91079E+11,GPS,75 km/h,5/5/2026 2:13,5/5/2026 2:14,1 min 13 s,High-Speed Warning,37.013774/-1.276281,Within Limit,KDV 176A - 04.05.2026-10.05.2026.xlsx,75,73,2,Tuesday,37.013774,-1.276281
KDP 967Z - Probox,2.91072E+11,GPS,98 km/h,5/9/2026 21:47,5/9/2026 21:48,1 min 15 s,High-Speed Warning,37.063438/-1.038449,Within limit,KDP 967Z -  04.05.2026-10.05.2026.xlsx,98,75,21,Saturday,37.063438,-1.038449
KDS 789W - Fuso,2.91072E+11,GPS,70 km/h,5/8/2026 11:33,5/8/2026 11:34,1 min 15 s,High-Speed Warning,36.263533/-1.102955,Within limit,KDS 789W - 04.05.2026-10.05.2026.xlsx,70,75,11,Friday,36.263533,-1.102955
KDV 176A - Probox,2.91079E+11,GPS,75 km/h,5/8/2026 17:49,5/8/2026 17:50,1 min 15 s,High-Speed Warning,37.123322/-1.526491,Within Limit,KDV 176A - 04.05.2026-10.05.2026.xlsx,75,75,17,Friday,37.123322,-1.526491
KDP 967Z - Probox,2.91072E+11,GPS,91 km/h,5/9/2026 21:57,5/9/2026 21:58,1 min 16 s,High-Speed Warning,36.978008/-1.131849,Within limit,KDP 967Z -  04.05.2026-10.05.2026.xlsx,91,76,21,Saturday,36.978008,-1.131849
KDS 789W - Fuso,2.91072E+11,GPS,70 km/h,5/8/2026 9:30,5/8/2026 9:31,1 min 16 s,High-Speed Warning,35.761011/-1.068965,Within limit,KDS 789W - 04.05.2026-10.05.2026.xlsx,70,76,9,Friday,35.761011,-1.068965
